ላላገኛት የሚለው ፊልም ላይ ስንት ተዋናዮች ተሳትፈዋል	answer ( count ( A ) , ተዋናይ ( A ) , ፊልም ( A , ላላገኛት ) )
የየዝና ነጋሽ የሙዚቃ ስልት ኢትዮ ጃዝ ነው	answer ( ? , ዘፋኝ ( A ) , ሙዚቃ_ስልት ( የዝና_ነጋሽ , ኢትዮ_ጃዝ ) )
ከልክ በላይ የሚለውን ፊልም ዳይሬክት ያደረገው ማነው	answer ( A , ዳይሬክተር ( A ) , ፊልም ( A , ከልክ_በላይ ) )
ቃል ስጪኝ የሚለው ፊልም ላይ ሰላም ተስፋየ ተውናለች	answer ( ? , ተዋናይ ( ሰላም_ተስፋየ ) , ፊልም ( ሰላም_ተስፋየ , ቃል_ስጪኝ ) )
አንድ እኩል የሚለው ፊልም ላይ ስንት ተዋናዮች ተሳትፈዋል	answer ( count ( A ) , ተዋናይ ( A ) , ፊልም ( A , አንድ_እኩል ) )
ተስፋዬ አበበ የጻፏቸው የተውኔት ጽሁፎችን ጥቀስ	answer ( A , ደራሲ ( ተስፋዬ_አበበ ) , ተውኔት_ድርሰት ( ተስፋዬ_አበበ , A ) )
በሰራዊት መልቲሚዲያ ፕሮዳክሽን የተዘጋጁት ፊልሞች ስንት ናቸው	answer ( count ( A ) , ፊልም ( A ) , ፕሮዳክሽን ( A , ሰራዊት_መልቲሚዲያ_ፕሮዳክሽን ) )
ባለስልጣኑ የሚለውን ፊልም ፕሮድዩስ ያደረገው ማነው	answer ( A , ፕሮድዩሰር ( A ) , ፊልም ( A , ባለስልጣኑ ) )
የሽመልስ አራርሶ አልበም አሳታሚውችን ጥቀስ	answer ( A , አልበም_ስም ( ሽመልስ_አራርሶ , B ) , አልበም_አታሚ ( A ) , አሳታሚ ( B , A ) )
የቀለጠው መንደር የሚለውን ፊልም ዳይሬክት ያደረገው ማነው	answer ( A , ዳይሬክተር ( A ) , ፊልም ( A , የቀለጠው_መንደር ) )
መንግስቱ ሳሳሞ የማን እግርኳስ ክለብ ዋና አሰልጣኝ ነው	answer ( A , ዋና_አሰልጣኝ ( A , መንግስቱ_ሳሳሞ ) , ፉትቦል_ክለብ ( A ) )
መርካቶ ሰፈሬ የሚለውን አልበም እዮኤል ዮሐንስ ነው የተጫወተው	answer ( ? , ዘፋኝ ( እዮኤል_ዮሐንስ ) , አልበም_ስም ( እዮኤል_ዮሐንስ , መርካቶ_ሰፈሬ ) )
ከዳይሬክተሮች መካከል ብዙ ፊልም ዳይሬክተር በማድረግ ዳዊት ሽመልስ የሚበልጥው ማነው	answer ( C , ፊልም ( ዳዊት_ሽመልስ , A ) , ዳይሬክተር ( C ) , ፊልም ( C , B ) , ይበልጣል ( count ( A ) , count ( B ) ) )
